Country,PPCG_Donor_Id,Matching_WGS_Sample,WGS_Local_Sample_Id,PPCG_Meth_Sample_ID,Platform,Meth_Local_Sample_ID,Meth_Sample_Type,MetastaticSite,Meth_Distance_To_WGS_Sample,Meth_RNASeq_Annot,idat_grn_filename,idat_red_filename,Date_of_scan_or_Sequencing,Comments,Is_FFPE
UK,PPCG0091,PPCG0091a_DNA,PD12810a,PPCG0091c_EPICseq,EPICseq,CRUK_PC_0027_V01_T01_L_TUM_METH_B18_H27YCBBXY_s_7_8_ATGTCA,TUM,NA,YES,NA,NA,NA,,,
UK,PPCG0091,ADD,ADD,PPCG0091d_EPICseq,EPICseq,CRUK_PC_0027_V0N_T01_L_BEN_METH_B18_H27YCBBXY_s_7_8_CCGTCC,BEN,NA,UNMATCH,NA,NA,NA,,,
UK,PPCG0092,PPCG0092a_DNA,PD12813a,PPCG0092c_EPICseq,EPICseq,CRUK_PC_0030_V01_T01_L_TUM_METH_B24_HYGF5BBXX_s_1_2_CGATGT,TUM,NA,YES,NA,NA,NA,,,
UK,PPCG0092,ADD,ADD,PPCG0092d_EPICseq,EPICseq,CRUK_PC_0030_V0N_T01_L_BEN_METH_B24_HYGF5BBXX_s_1_2_TGACCA,BEN,NA,UNMATCH,NA,NA,NA,,,
UK,PPCG0093,PPCG0093a_DNA,PD12826a,PPCG0093c_EPICseq,EPICseq,CRUK_PC_0043_V01_T01_L_TUM_METH_B24_HYGF5BBXX_s_1_2_GTCCGC,TUM,NA,YES,NA,NA,NA,,,
UK,PPCG0093,ADD,ADD,PPCG0093d_EPICseq,EPICseq,CRUK_PC_0043_V0N_T01_L_BEN_METH_B24_HYGF5BBXX_s_1_2_GTGAAA,BEN,NA,UNMATCH,NA,NA,NA,,,
UK,PPCG0096,PPCG0096a_DNA,PD13380a,PPCG0096d_EPICseq,EPICseq,CRUK_PC_0063_V12_T01_C_TUM_METH_B25_HYGF5BBXX_s_3_4_ACAGTG,TUM,NA,YES,NA,NA,NA,,,
UK,PPCG0096,PPCG0096c_DNA,PD13380c,PPCG0096e_EPICseq,EPICseq,CRUK_PC_0063_V16_T03_C_BEN_METH_B25_HYGF5BBXX_s_3_4_TGACCA,BEN,NA,YES,NA,NA,NA,,,
UK,PPCG0097,ADD,ADD,PPCG0097c_EPICseq,EPICseq,CRUK_PC_0064_V04_T02_C_BPH_METH_B10_HW5V7BBXX_s_5_6_CGATGT,BPH,NA,UNMATCH,NA,NA,NA,,,
UK,PPCG0097,PPCG0097a_DNA,PD13381a,PPCG0097d_EPICseq,EPICseq,CRUK_PC_0064_V06_T03_C_TUM_METH_B10_HW5V7BBXX_s_5_6_TGACCA,TUM,NA,YES,NA,NA,NA,,,
UK,PPCG0098,PPCG0098a_DNA,PD13400a,PPCG0098c_EPICseq,EPICseq,CRUK_PC_0083_V01_T01_L_TUM_METH_B20_H2KVKBBXY_s_5_6_GTCCGC,TUM,NA,YES,NA,NA,NA,,,
UK,PPCG0098,ADD,ADD,PPCG0098d_EPICseq,EPICseq,CRUK_PC_0083_V0N_T01_L_BEN_METH_B20_H2KVKBBXY_s_5_6_GTGAAA,BEN,NA,UNMATCH,NA,NA,NA,,,
UK,PPCG0099,PPCG0099a_DNA,PD13402a,PPCG0099c_EPICseq,EPICseq,CRUK_PC_0085_V02_T01_L_TUM_METH_B18_H27YCBBXY_s_7_8_GTCCGC,TUM,NA,YES,NA,NA,NA,,,
UK,PPCG0099,ADD,ADD,PPCG0099d_EPICseq,EPICseq,CRUK_PC_0085_V0N_T01_L_BEN_METH_B18_H27YCBBXY_s_7_8_GTGAAA,BEN,NA,UNMATCH,NA,NA,NA,,,
UK,PPCG0100,PPCG0100a_DNA,PD13409a,PPCG0100c_EPICseq,EPICseq,CRUK_PC_0092_V02_T01_L_TUM_METH_B19_H2KVKBBXY_s_3_4_GTCCGC,TUM,NA,YES,NA,NA,NA,,,
UK,PPCG0100,ADD,ADD,PPCG0100d_EPICseq,EPICseq,CRUK_PC_0092_V0N_T01_L_BEN_METH_B19_H2KVKBBXY_s_3_4_GTGAAA,BEN,NA,UNMATCH,NA,NA,NA,,,
UK,PPCG0101,PPCG0101a_DNA,PD13411a,PPCG0101c_EPICseq,EPICseq,CRUK_PC_0094_V01_T01_L_TUM_METH_B22_HYG7FBBXX_s_3_4_ACAGTG,TUM,NA,YES,NA,NA,NA,,,
UK,PPCG0101,ADD,ADD,PPCG0101d_EPICseq,EPICseq,CRUK_PC_0094_V0N_T01_L_BEN_METH_B22_HYG7FBBXX_s_3_4_GCCAAT,BEN,NA,UNMATCH,NA,NA,NA,,,
UK,PPCG0103,ADD,ADD,PPCG0103c_EPICseq,EPICseq,CRUK_PC_0113_V02_T03_C_BEN_METH_B10_HW5V7BBXX_s_5_6_GCCAAT,BEN,NA,UNMATCH,NA,NA,NA,,,
UK,PPCG0103,PPCG0103a_DNA,PD14706a,PPCG0103d_EPICseq,EPICseq,CRUK_PC_0113_V11_T05_C_TUM_METH_B10_HW5V7BBXX_s_5_6_ACAGTG,TUM,NA,YES,NA,NA,NA,,,
UK,PPCG0104,PPCG0104c_DNA,PD14708c,PPCG0104d_EPICseq,EPICseq,CRUK_PC_0115_V02_TXX_C_BEN_METH_B32_H5GWGBBXY_s_7_8_TGACCA,BEN,NA,YES,NA,NA,NA,,,
UK,PPCG0104,PPCG0104a_DNA,PD14708a,PPCG0104e_EPICseq,EPICseq,CRUK_PC_0115_V12_TXX_C_TUM_METH_B32_H5GWGBBXY_s_7_8_CGATGT,TUM,NA,YES,NA,NA,NA,,,
